ISBN,Title,Genres
0446311812,Postmark murder,"Fiction, mystery & detective, general, Illinois, fiction, Chicago (ill.), fiction, March, laura (fictitious character), fiction"
0870332600,Coastwise navigation,"Navigation, Coastwise navigation"
0671720368,Man-Kzin Wars II,"Kzin (Imaginary place), Fiction, Kzin (imaginary place), fiction, Fiction, science fiction, general"
0590422766,The Littles and the big storm,"Fantasy, Mystery and detective stories, Children's fiction, Storms, fiction"
0821748297,Intimacies,"Fiction, Love stories, Oregon, Romantic suspense fiction"
0394570251,The swimming pool library,"Gay men, fiction, Fiction, general, Fiction, Gay men, Interpersonal relations, Sexuality, Aristocracy (Social class), LGBTQ novels, Stonewall Book Awards, Lambda Literary Awards, Lambda Literary Award Winner, English literature, Fiction, lgbtq+, gay, England, fiction, London (england), fiction"
0671420747,The Tempest,"English literature: Shakespeare criticism, English literature: Shakespeare texts, Plays / Drama, Literary Criticism, Classics, For National Curriculum Key Stage 3, play, performing arts, English drama, tragicomedy, Drama, Teatro, Survival after airplane accidents, shipwrecks, Magicians, Magos, Supervivencia (accidentes de aviación, naufragios, etc.), Fathers and daughters, Tragicomedia, Castaways, Padres e hijas, Náufragos, shipwrecks, Plays, Spirits, Shipwreck victims, English literature, Political refugees, History and criticism, Bu hnenanweisung, Auffu hrung, Geschichte, English Young adult drama, Islands, Shipwreck survival, Literatura inglesa (crítica e interpretação), Criticism and interpretation, Juvenile drama, Children's plays, English, Reading Level-Grade 11, Reading Level-Grade 12, Tempest (Shakespeare, William), 18.05 English literature, British and irish drama (dramatic works by one author), Shakespeare, william, 1564-1616, tempest, English literature, outlines, syllabi, etc., Drama (dramatic works by one author), Literature, history and criticism, Shakespeare, william, 1564-1616, juvenile literature, Problems, exercises, Adaptations, Outlines, syllabi, Ariel (Fictitious character : Shakespeare), Caliban (Fictitious character), Prospero (Fictitious character), Children's plays, Stage history, Drama ., Nobility, Roman Empire, Juvenile fiction, Pictorial works, Shakespeare, william, 1564-1616, Fiction, Shipwreck victims -- Drama, Fathers and daughters -- Drama, Magicians -- Drama, Political refugees -- Drama, Islands -- Drama, Spirits -- Drama, English literature, history and criticism, Comic books, strips, SV, Survival, Translations into Hebrew, Children's fiction, Linguistics & semiotics, Shipwreck survival--drama, Fathers and daughters--drama, Magicians--drama, Islands--drama, Pr2833.a2 l56 2002, 822.3/3, Mathematics, study and teaching, Shakespeare, william , 1564-1616, Fathers and daughters--fiction, Castaways--drama, Pr2833.a2 v38 2011, The tempest"
B00004THMF,Not Found,Not Found
0670894184,Back Roads,"Fiction, sagas, Pennsylvania, fiction, Brothers and sisters, fiction"
1562935453,Birds at Your Fingertips (At Your Fingertips III),Unknown Genre
