ISBN,Title,Categorized Genres,Other,biography,children's fiction,fantasy,fiction,general,historical,large type books,romance,social life and customs,united states
1841193429,Looking for Lovedu,"['fiction', 'general', 'Other']",1,0,0,0,1,1,0,0,0,0,0
059045174X,The Field Beyond the Outfield,"[""children's fiction"", 'fiction', 'Other']",1,0,1,0,1,0,0,0,0,0,0
1840243503,"Brazil: Life, Blood, Soul","['historical', 'social life and customs', 'Other']",1,0,0,0,0,0,1,0,0,1,0
1884956173,Damn! Why didn't I write that?,['Other'],1,0,0,0,0,0,0,0,0,0,0
067973385X,Exile and the kingdom,"['fiction', 'social life and customs', 'Other']",1,0,0,0,1,0,0,0,0,1,0
2841721175,Les Annales du disque-monde. Tome XIV. Nobliaux et Sorcières,"['fiction', 'fantasy', 'general', 'Other']",1,0,0,1,1,1,0,0,0,0,0
2290316547,Tour sombre 4,"['fiction', 'fantasy', 'general', 'Other']",1,0,0,1,1,1,0,0,0,0,0
156156849X,The time machine,"[""children's fiction"", 'fiction', 'Other']",1,0,1,0,1,0,0,0,0,0,0
096156511X,The Hammermill guide to desktop publishing in business,['Other'],1,0,0,0,0,0,0,0,0,0,0
1855381052,Rune magic,"['general', 'Other']",1,0,0,0,0,1,0,0,0,0,0
1573228184,The cigarette girl,"['fiction', 'social life and customs', 'general', 'Other']",1,0,0,0,1,1,0,0,0,1,0
038078145X,Stranger in My Arms,"['large type books', 'historical', 'Other', 'fiction', 'romance']",1,0,0,0,1,0,1,1,1,0,0
1551663155,Woman's Touch,"['large type books', 'general', 'Other', 'fiction', 'romance']",1,0,0,0,1,1,0,1,1,0,0
155773917X,Fat-free and fatal,"['fiction', 'Other']",1,0,0,0,1,0,0,0,0,0,0
1568846533,MS DOS 6.2 Simplified,['Other'],1,0,0,0,0,0,0,0,0,0,0
031287717X,The wayfarer redemption,"['fiction', 'fantasy', 'general', 'Other']",1,0,0,1,1,1,0,0,0,0,0
1560545275,The seventh stone,"['historical', 'fiction', 'large type books', 'Other']",1,0,0,0,1,0,1,1,0,0,0
1858285089,The Rough Guide to Scotland (4th Edition),['Other'],1,0,0,0,0,0,0,0,0,0,0
1559716746,"Caterpillars, Bugs and Butterflies",['Other'],1,0,0,0,0,0,0,0,0,0,0
1854712551,Don Quixote,"[""children's fiction"", 'social life and customs', 'historical', 'general', 'biography', 'Other', 'fiction', 'romance']",1,1,1,0,1,1,1,0,1,1,0
1857230337,Generation Warriors,"['fiction', 'general', 'Other']",1,0,0,0,1,1,0,0,0,0,0
185549860X,Harry Potter and the Philosopher's Stone,"['large type books', ""children's fiction"", 'general', 'Other', 'fiction', 'fantasy']",1,0,1,1,1,1,0,1,0,0,0
1579121055,Lingerie,"['historical', 'Other']",1,0,0,0,0,0,1,0,0,0,0
1556521901,The mole people,"['biography', 'Other']",1,1,0,0,0,0,0,0,0,0,0
156179600X,Surprise Endings (The Christy Miller Series #4),"['fiction', 'Other']",1,0,0,0,1,0,0,0,0,0,0
1857237889,Wolf in shadow,"['fiction', 'fantasy', 'general', 'Other']",1,0,0,1,1,1,0,0,0,0,0
067942069X,Felidae,"['fiction', 'general', 'Other']",1,0,0,0,1,1,0,0,0,0,0
349926448X,Wilder Thymian,"['large type books', 'general', 'Other', 'fiction', 'romance']",1,0,0,0,1,1,0,1,1,0,0
038533494X,Sometimes I Dream in Italian,"['large type books', 'social life and customs', 'general', 'Other', 'fiction']",1,0,0,0,1,1,0,1,0,1,0
155204145X,The Pirate,"['large type books', 'fiction', 'romance', 'Other']",1,0,0,0,1,0,0,1,1,0,0
1558745262,The betrayal bond: breaking free of exploitative relationships,['Other'],1,0,0,0,0,0,0,0,0,0,0
050552161X,Savage Dream,"['historical', 'general', 'Other', 'fiction', 'romance']",1,0,0,0,1,1,1,0,1,0,0
1570629331,The myth of freedom and the way of meditation,['Other'],1,0,0,0,0,0,0,0,0,0,0
1556705573,Mexican contemporary,"['historical', 'Other']",1,0,0,0,0,0,1,0,0,0,0
037550298X,Geeks,['Other'],1,0,0,0,0,0,0,0,0,0,0
8874260008,Ogni parola ha un suono che inventa mondi,['Other'],1,0,0,0,0,0,0,0,0,0,0
156565336X,The dream sourcebook,"['historical', 'Other']",1,0,0,0,0,0,1,0,0,0,0
1561793477,The stowaway,"['historical', 'fiction', 'general', 'Other']",1,0,0,0,1,1,1,0,0,0,0
044022554X,A Kiss to dream on,"['fiction', 'romance', 'historical', 'general']",0,0,0,0,1,1,1,0,1,0,0
1852605898,The science of speed,['Other'],1,0,0,0,0,0,0,0,0,0,0
088001444X,The Culture of Bruising,"['social life and customs', 'united states']",0,0,0,0,0,0,0,0,0,1,1
1565122585,Bark If You Love Me,"['biography', 'Other']",1,1,0,0,0,0,0,0,0,0,0
3895082570,Kidnapped (Konemann Classics),"['historical', 'large type books', ""children's fiction"", 'general', 'Other', 'fiction']",1,0,1,0,1,1,1,1,0,0,0
074724944X,The Cat Who Said Cheese (A Jim Qwilleran Feline Whodunnit),"['fiction', 'general', 'Other']",1,0,0,0,1,1,0,0,0,0,0
039923568X,Spot's Birthday Party,"[""children's fiction"", 'fiction', 'Other']",1,0,1,0,1,0,0,0,0,0,0
055380300X,Sense of evil,"['large type books', 'fiction', 'united states', 'Other']",1,0,0,0,1,0,0,1,0,0,1
1400031001,Any human heart,"['fiction', 'Other']",1,0,0,0,1,0,0,0,0,0,0
042509586X,Callahan's Crosstime Saloon,"['fiction', 'general', 'Other']",1,0,0,0,1,1,0,0,0,0,0
1557484074,When Comes the Dawn (Heartsong Presents #35),"['fiction', 'historical']",0,0,0,0,1,0,1,0,0,0,0
190398517X,The Annotated Flatland,"['large type books', 'general', 'Other', 'fiction', 'fantasy']",1,0,0,1,1,1,0,1,0,0,0
2879392292,Surrealism,['Other'],1,0,0,0,0,0,0,0,0,0,0
