,image,dominant_color (RGB),mood
0,000651250X.jpg,"(np.uint8(80), np.uint8(82), np.uint8(141))",Calm with saturated colors
1,006053429X.jpg,"(np.uint8(63), np.uint8(113), np.uint8(125))",Calm with saturated colors
2,014009203X.jpg,"(np.uint8(106), np.uint8(135), np.uint8(156))",Mysterious with saturated colors
3,014012411X.jpg,"(np.uint8(122), np.uint8(126), np.uint8(123))",Mysterious with saturated colors
4,014130975X.jpg,"(np.uint8(45), np.uint8(94), np.uint8(104))",Calm with saturated colors
5,016051195X.jpg,"(np.uint8(140), np.uint8(143), np.uint8(162))",Energetic with saturated colors
6,019505976X.jpg,"(np.uint8(142), np.uint8(190), np.uint8(164))",Energetic with saturated colors
7,028563450X.jpg,"(np.uint8(25), np.uint8(63), np.uint8(48))",Energetic and dark with saturated colors
8,030737002X.jpg,"(np.uint8(100), np.uint8(156), np.uint8(35))",Mysterious and dark with saturated colors
9,031287717X.jpg,"(np.uint8(75), np.uint8(102), np.uint8(100))",Calm with saturated colors
10,034055830X.jpg,"(np.uint8(139), np.uint8(172), np.uint8(187))",Energetic with saturated colors
11,037316422X.jpg,"(np.uint8(67), np.uint8(65), np.uint8(110))",Calm with saturated colors
12,037324228X.jpg,"(np.uint8(65), np.uint8(90), np.uint8(118))",Calm with saturated colors
13,037361358X.jpg,"(np.uint8(71), np.uint8(101), np.uint8(161))",Calm with saturated colors
14,037380203X.jpg,"(np.uint8(136), np.uint8(164), np.uint8(168))",Energetic with saturated colors
15,037550298X.jpg,"(np.uint8(62), np.uint8(192), np.uint8(170))",Calm with saturated colors
16,037550303X.jpg,"(np.uint8(147), np.uint8(145), np.uint8(119))",Energetic with saturated colors
17,037575248X.jpg,"(np.uint8(159), np.uint8(179), np.uint8(178))",Calm with saturated colors
18,038078145X.jpg,"(np.uint8(169), np.uint8(200), np.uint8(186))",Calm with saturated colors
19,038547721X.jpg,"(np.uint8(172), np.uint8(182), np.uint8(153))",Calm with saturated colors
20,039483013X.jpg,"(np.uint8(80), np.uint8(194), np.uint8(160))",Calm with saturated colors
21,042509586X.jpg,"(np.uint8(136), np.uint8(161), np.uint8(131))",Energetic with saturated colors
22,042518871X.jpg,"(np.uint8(196), np.uint8(238), np.uint8(216))",Calm and bright with saturated colors
23,044022554X.jpg,"(np.uint8(119), np.uint8(154), np.uint8(79))",Mysterious and dark with saturated colors
24,044150440X.jpg,"(np.uint8(51), np.uint8(136), np.uint8(192))",Calm with saturated colors
25,044175046X.jpg,"(np.uint8(134), np.uint8(150), np.uint8(161))",Energetic with saturated colors
26,044652932X.jpg,"(np.uint8(101), np.uint8(143), np.uint8(149))",Mysterious with saturated colors
27,050552161X.jpg,"(np.uint8(30), np.uint8(98), np.uint8(108))",Calm with saturated colors
